,title,work experience,salary,region
347,Python-разработчик в Яндекс Диск,3–6 лет,,Санкт-Петербург
348,Разработчик Python (техлид),3–6 лет,,Томск
349,Разработчик бэкэнд (Python),3–6 лет,от 150 000 руб. на руки,
350,Python Middle/Seniour Разработчик,3–6 лет,,Москва
351,Python разработчик (to Cyprus / Armenia),3–6 лет,,Москва
352,Python Developer,3–6 лет,,Астана
353,Go разработчик со знаниями Python,1–3 года,до 1 000 000 KZT на руки,
354,Разработчик Python,3–6 лет,,Санкт-Петербург
355,Разработчик Python Senior,3–6 лет,,
356,"Backend developer (C#, Python)",1–3 года,,Москва
357,Software Engineer,1–3 года,от 250 000 до 350 000 руб. на руки,Москва
358,Middle+ backend python,3–6 лет,,Волгоград
359,Middle Python Developer / Data Engineer (Python) в команду ML Space Data Catalog,1–3 года,,Москва
360,Middle Python Developer / Data Engineer (Python) в команду ML Space Data Catalog,1–3 года,,Москва
361,Senior Python разработчик,3–6 лет,,
362,Python developer на игровой проект Sidus Heroes,1–3 года,от 2 000 до 3 200 USD на руки,Москва
363,Senior backend - разработчик на python,3–6 лет,,Москва
364,Разработчик python (Middle/Senior),3–6 лет,,Новосибирск
365,Инженер-Программист (отдела функционального тестирования Python + Selenium ),3–6 лет,,
366,Server Programmer (Python),1–3 года,,
367,Senior Python разработчик,3–6 лет,,Москва
368,Middle Python Developer,1–3 года,,
369,Python Developer,3–6 лет,от 150 000 руб. на руки,Краснодар
370,Разработчик Python,1–3 года,,
371,Python-разработчик (Рамблер/рекомендации),1–3 года,,
372,Python Developer,3–6 лет,,Алматы
373,Python developer,1–3 года,,Москва
374,Python Developer (ML Engineer),1–3 года,,Санкт-Петербург
375,Web-разработчик,1–3 года,,Москва
376,Python Developer,3–6 лет,,Москва
377,Ведущий разработчик отдела интеграции (python),3–6 лет,,Москва
378,Full Stack Python/JS разработчик,3–6 лет,от 120 000 руб. на руки,
379,Backend разработчик python,3–6 лет,,Санкт-Петербург
380,Программист Python,3–6 лет,,Москва
381,Преподаватель Python (ООП),не требуется,,Москва
382,Разработчик ML(CV),1–3 года,,Москва
383,Разработчик python (Middle/Senior),3–6 лет,,Санкт-Петербург
384,Ведущий Python разработчик (проект INAC),3–6 лет,,Москва
385,Python developer,1–3 года,,
386,Python test automation engineer,1–3 года,,Сербия
387,Python + Go Developer Центр HR TECH,1–3 года,,
388,Team Lead Python/Django/Руководитель отдела разработки и тестирования,более 6 лет,от 300 000 до 400 000 руб. на руки,Москва
389,Middle Python Developer,1–3 года,,Москва
390,Преподаватель программирования Python для детей (удаленно),1–3 года,от 25 000 до 55 000 руб. на руки,Казань
391,Программист Python,1–3 года,,
392,"Разработчик (JS, Python)",не требуется,,Москва
393,Разработчик Python (senior),3–6 лет,,Москва
394,Middle Python Developer,1–3 года,от 150 000 до 180 000 руб. на руки,
395,Python разработчик в CM.Expert (Яндекс Вертикали),3–6 лет,,Армения
396,Middle/Middle+ Python Developer,1–3 года,,
397,Преподаватель курса Python-разработчик,1–3 года,от 32 400 до 50 000 руб. на руки,
398,"Преподаватель курса ""Python-разработчик""",1–3 года,от 40 000 руб. на руки,
399,Python разработчик (проект Лаборатория измерительных систем),не требуется,,Вологда
400,Python разработчик (проект Лаборатория измерительных систем),не требуется,,Вологда
401,Data Engineer (Golang),3–6 лет,,
402,Python developer (Django),3–6 лет,,Санкт-Петербург
403,Middle Python-developer,1–3 года,,
404,Middle Python Developer (Atlassian),1–3 года,,
405,Middle разработчик нейросетевых алгоритмов / Reinforcement Learning,1–3 года,,
406,Middle Backend Engineer (Python),3–6 лет,от 150 000 до 250 000 руб. на руки,Москва
407,Middle Backend Engineer (Python),3–6 лет,от 150 000 до 250 000 руб. на руки,Санкт-Петербург
408,Senior Python Программист,3–6 лет,,Минск
409,Инженер по автоматизированному тестированию (Back-end/Python/CCTV/решения видеонаблюдения),3–6 лет,,Москва
410,Senior Data Engineer / MLOps,3–6 лет,до 350 000 руб. на руки,
411,Senior Python (Django) разработчик,3–6 лет,,Москва
412,Разработчик Python,3–6 лет,,Чебоксары
413,Разработчик Python,1–3 года,,Москва
414,Python-разработчик,3–6 лет,от 120 000 до 190 000 руб. на руки,Краснодар
415,Разработчик RTL,1–3 года,,
416,Python разработчик (проект Лаборатория измерительных систем),1–3 года,,Череповец
417,Программист,1–3 года,,Пыть-Ях
418,Python-разработчик,1–3 года,,Москва
419,Рython developer,3–6 лет,,Москва
420,Ведущий Python-разработчик,3–6 лет,,Москва
421,Python разработчик,3–6 лет,,Москва
422,"Python/Erlang-разработчик (middle, дистанционно)",1–3 года,,Москва
423,Senior Python/Django разработчик,3–6 лет,,Москва
424,Middle Python Developer,1–3 года,,
425,Разработчик СУБД (C/Python),3–6 лет,,Хабаровск
426,Python Developer,3–6 лет,,Санкт-Петербург
427,Руководитель Backend разработки (Python),3–6 лет,,Москва
428,Программист Python / Senior / Lead,3–6 лет,,
429,Junior Python разработчик,1–3 года,,
430,Python Developer (Lead/Senior),3–6 лет,,
431,Middle программист Python (платежные сервисы),1–3 года,,
432,"Middle Backend Developer (Python, PostgreSQL, Django), отдел ИРО",3–6 лет,,
433,"Python developer (ETL, ЦЕХ)",3–6 лет,,Москва
434,Lead backend developer (Python),более 6 лет,,
435,Python Developer (Lead/Senior),3–6 лет,,
436,Senior Python разработчик / Системный администратор,3–6 лет,,Москва
437,Программист Python,1–3 года,,
438,Python разработчик,3–6 лет,,Уфа
439,Python + Go Developer (удаленно),1–3 года,от 160 000 руб. на руки,Баку
440,Программист Python,1–3 года,до 150 000 руб. на руки,Волгоград
441,Senior Python-разработчик,3–6 лет,,Москва
442,"Data Engineer (Python), remote",1–3 года,,
443,Python Developer (Middle/Senior),3–6 лет,,Кутаиси
444,Senior Python developer,3–6 лет,,Москва
445,Программист Python NLP SpaCy,3–6 лет,,Москва
446,Программист Python,3–6 лет,,Москва
447,Разработчик,1–3 года,,Санкт-Петербург
448,Junior Full Stack Web-разработчик (Python),не требуется,,
449,Разработчик Python(R&D),1–3 года,,
450,R Developer,3–6 лет,,Тбилиси
451,Fullstack Python+JS Developer,3–6 лет,,Москва
