,title,work experience,salary,region
1800,Специалист по нагрузочному тестированию,3–6 лет,,Москва
1801,Security engineer,3–6 лет,,
1802,Инженер-программист,1–3 года,,
1803,Web (Frontend)-разработчик,1–3 года,от 75 000 до 75 000 руб. на руки,
1804,Lead DevOps Engineer,более 6 лет,,Санкт-Петербург
1805,"Старший разработчик Golang (Платформа чатов, Путь совершения покупки)",3–6 лет,,"Москва, Выставочная, Деловой центр, Деловой центр"
1806,Системный администратор Linux,3–6 лет,,Москва
1807,Site Reliability Engineer,3–6 лет,,Москва
1808,Инженер-аналитик (СУИБ),1–3 года,,
1809,Linux администратор,3–6 лет,до 120 000 руб. на руки,
1810,Инженер-Программист микроконтроллеров на С/С++ / Embedded разработчик,3–6 лет,от 90 000 руб. на руки,
1811,"Разработчик Golang (Личный кабинет, Путь совершения покупки)",1–3 года,,Москва
1812,Руководитель проектов по разработке ПО,3–6 лет,от 150 000 до 250 000 руб. на руки,Москва
1813,Разработчик BI,1–3 года,,
1814,Senior SRE (to Cyprus),3–6 лет,,Кипр
1815,Senior C++ Developer (to Armenia),1–3 года,,Самара
1816,Senior C++ Developer (to Armenia),1–3 года,,Казань
1817,Full-stack developer,3–6 лет,,Пермь
1818,Security engineer,3–6 лет,,
1819,Ведущий сетевой инженер-исследователь,3–6 лет,от 100 000 руб. на руки,Москва
1820,Инженер по тестированию ПО (ручное+авто),1–3 года,,
1821,PHP Developer (middle),3–6 лет,от 150 000 руб. на руки,
1822,Инженер баз данных,3–6 лет,,Москва
1823,Security engineer,3–6 лет,,
1824,Middle/Senior QA Engineer,3–6 лет,,Санкт-Петербург
1825,Security engineer,3–6 лет,,
1826,QA Engineer \ QA Automation,3–6 лет,,
1827,Backend разработчик (PHP),1–3 года,,Москва
1828,Backend разработчик (PHP),1–3 года,,Казань
1829,Senior C++ Developer (to Armenia),1–3 года,,Новосибирск
1830,Java-разработчик Портал ДИ,3–6 лет,,Москва
1831,Senior Data engineer,более 6 лет,,Санкт-Петербург
1832,QA engineer of simulator,3–6 лет,,Москва
1833,PHP-программист (backend),1–3 года,,
1834,Senior C++ Developer (to Armenia),1–3 года,,Нижний Новгород
1835,Devops engineer (TI),3–6 лет,,
1836,Разработчик QlikView,1–3 года,,
1837,Инженер по портированию BIOS,3–6 лет,,
1838,Middle/Senior QA Engineer,3–6 лет,,Астана
1839,Backend разработчик (PHP),1–3 года,,Тверь
1840,R&D QA Engineer (тестирование HW серверов),3–6 лет,,
1841,Руководитель отдела системного анализа,3–6 лет,,Москва
1842,Data Engineer,1–3 года,,Ташкент
1843,Senior PHP/JS Developer (Modules Team),3–6 лет,,
1844,Golang-разработчик / Middle/Senior,1–3 года,,
1845,Администратор Linux,3–6 лет,,
1846,Embedded-разработчик,3–6 лет,,Москва
1847,Системный аналитик,1–3 года,,
1848,Инженер-программист (робототехника),не требуется,от 50 000 руб. на руки,
1849,Системный администратор Linux,1–3 года,,
1850,Senior C++ Developer (Gameplay),3–6 лет,,Астана
1851,Senior PHP/JS Developer (Modules Team),3–6 лет,,
1852,Разработчик / архитектор системы противодействия мошенничеству (fraud prevention),3–6 лет,,Москва
1853,Senior Java Developer,более 6 лет,от 3 000 до 5 000 USD на руки,Ташкент
1854,C/C++ developer (ME),1–3 года,,
1855,Backend разработчик (PHP),1–3 года,,Самара
1856,Senior PHP/JS Developer (Modules Team),3–6 лет,,
1857,Linux администратор (remote),3–6 лет,,
1858,DSP Researcher Scientist,более 6 лет,,Москва
1859,PHP-разработчик,3–6 лет,,
1860,Backend разработчик (PHP),1–3 года,,Екатеринбург
1861,Разработчик DWH/BI,1–3 года,,
1862,Системный администратор,1–3 года,,Минск
1863,Руководитель IT команды (Team Lead),3–6 лет,,
1864,Backend разработчик (PHP),1–3 года,,Нижний Новгород
1865,Tableau BI Developer,1–3 года,,Астана
1866,Инженер-программист АСУ ТП,1–3 года,,"Москва, Текстильщики"
1867,Инженер-программист,1–3 года,,
1868,Менеджер IT-проектов,не требуется,от 100 000 до 150 000 руб. на руки,
1869,Главный разработчик,1–3 года,,Астана
1870,Разработчик ETL\DWH [id9725],1–3 года,,Санкт-Петербург
1871,Middle/Senior QA Engineer,3–6 лет,,Алматы
1872,Ведущий системный аналитик,3–6 лет,,Москва
1873,Тестировщик 1С,1–3 года,от 100 000 руб. на руки,
1874,Разработчик Terrasoft Creatio,1–3 года,,Москва
1875,Senior PHP/JS Developer (Modules Team),3–6 лет,,
1876,Senior Scala Developer / Scala Developer,3–6 лет,,
1877,Старший программист dwh,1–3 года,,Пермь
1878,Инженер-программист,не требуется,от 31 500 до 31 500 руб. на руки,
1879,Product owner,1–3 года,,Москва
1880,Product owner,1–3 года,,Москва
1881,PHP-разработчик (Middle),3–6 лет,от 120 000 до 190 000 руб. на руки,
1882,Программист Olap,1–3 года,от 80 000 руб. на руки,
1883,Системный архитектор,3–6 лет,,
1884,Администратор баз данных (DBA),1–3 года,,Москва
1885,ИТ-аналитик (ИТ-инфраструктура),3–6 лет,,
1886,Ведущий тестировщик (Зеленоград),1–3 года,от 150 000 руб. на руки,
1887,Fullstack developer (to Bangkok),3–6 лет,,Москва
1888,FullStack SAP/ABAP Developer (to Montenegro),3–6 лет,,Москва
1889,Senior QA Manual,3–6 лет,,Москва
1890,QA специалист (SberInfra),1–3 года,,Москва
1891,Middle Java разработчик,3–6 лет,,Москва
1892,Product owner,1–3 года,,Москва
1893,Security engineer [MTS WebSSO],3–6 лет,,Москва
1894,Senior C++ Developer (Gameplay),3–6 лет,,Минск
1895,Программист отдела поддержки информационных систем,3–6 лет,,
1896,Продакт-менеджер,3–6 лет,до 300 000 руб. на руки,
1897,Аналитик (направление речевых технологий),1–3 года,,Екатеринбург
1898,Разработчик Kotlin/Java,3–6 лет,,Москва
1899,C# / WPF разработчик GUI-приложений для управления лазерными станками,не требуется,от 60 000 руб. на руки,
1900,IOS разработчик,1–3 года,от 100 000 руб. на руки,
1901,Ведущий инженер-программист по разработке сетевого ПО,более 6 лет,,Москва
1902,Разработчик GO Вертикали,3–6 лет,,Сербия
1903,Старший аналитик,3–6 лет,,Санкт-Петербург
1904,Senior Java developer (POS Hospitality),3–6 лет,,
1905,PHP-программист (Backend-разработчик),1–3 года,до 90 000 руб. на руки,
1906,Programming Team Lead (С++),3–6 лет,,Астана
1907,Senior FPGA Designer (to Dubai),более 6 лет,,ОАЭ
1908,Инженер по безопасной разработке (AppSec инженер),3–6 лет,,
1909,Team Leader,3–6 лет,,
1910,Tableau BI Developer,1–3 года,,Ташкент
1911,QA Automation Engineer,3–6 лет,,
1912,Lead Fraud Analyst,1–3 года,,Москва
1913,Ведущий программист веб отдела,3–6 лет,от 150 000 до 200 000 руб. на руки,
1914,Инженер-программист (разработчик встроенного системного ПО),1–3 года,,
1915,Инженер-программист (разработчик встроенного системного ПО),1–3 года,,
1916,Ведущий разработчик PHP,3–6 лет,,Москва
1917,FullStack SAP/ABAP Developer (to Montenegro),3–6 лет,,Санкт-Петербург
1918,Разработчик java,1–3 года,,Новосибирск
1919,QA Lead (remote),3–6 лет,,Сербия
1920,Руководитель Data Science,1–3 года,,
1921,Programming Team Lead (С++),3–6 лет,,Минск
1922,Релиз-инженер,1–3 года,,Ростов-на-Дону
1923,Инженер HADOOP,1–3 года,,Москва
1924,Senior Scala Developer / Scala Developer,3–6 лет,,
1925,Senior Frontend/JavaScript Developer,3–6 лет,,
1926,FPGA (ПЛИС) разработчик,3–6 лет,,Санкт-Петербург
1927,"Инженер по сопровождению прикладных систем Atlassian (Jira, Confluence)",1–3 года,,Москва
1928,Big Data Engineer,3–6 лет,,Астана
1929,Middle/Senior Fullstack Developer (NodeJS+ReactJS),3–6 лет,,Москва
1930,Senior С# Developer (Unity 3D),3–6 лет,,
1931,Эксперт OpenStack,3–6 лет,,Москва
1932,Senior Frontend Developer,более 6 лет,,Москва
1933,Помощник системного администратора,1–3 года,,
1934,Big Data Engineer,3–6 лет,,Тбилиси
1935,Системный администратор Linux,3–6 лет,,Москва
1936,Hadoop инженер,3–6 лет,,
1937,Middle C++ Developer/Разработчик С++,3–6 лет,от 120 000 до 200 000 руб. на руки,
1938,Application Security Engineer,3–6 лет,,Санкт-Петербург
1939,Сетевой инженер,1–3 года,от 150 000 до 150 000 руб. на руки,
1940,Стажер-программист 1С,не требуется,от 15 000 руб. на руки,
1941,QA Engineer,1–3 года,,Москва
1942,Middle Golang Developer [Блоги],1–3 года,,Москва
1943,Data Engineer (Greenplum),1–3 года,,Москва
1944,RTL verification engineer,3–6 лет,,Санкт-Петербург
1945,Big Data Engineer,3–6 лет,,Минск
1946,Инженер-программист 2 категории,1–3 года,,
1947,Инженер HADOOP,1–3 года,,Санкт-Петербург
1948,Старший разработчик в отдел облачной инфраструктуры,более 6 лет,,Москва
1949,Архитектор программного обеспечения,3–6 лет,,
1950,Руководитель группы тестирования,3–6 лет,,
1951,"Senior Software Engineer CI/CD, DevOps (to Armenia)",1–3 года,,Екатеринбург
1952,Программист-наставник англоговорящий,3–6 лет,,"Москва, Крылатское"
1953,"Senior Software Engineer CI/CD, DevOps (to Armenia)",1–3 года,,Самара
1954,SRE инженер,3–6 лет,,Москва
1955,SRE инженер,3–6 лет,,Москва
1956,Разработчик финансовой платформы в Доставку,1–3 года,,Санкт-Петербург
1957,QA engineer,более 6 лет,,
1958,"Senior Software Engineer CI/CD, DevOps (to Armenia)",1–3 года,,Новосибирск
1959,Ведущий специалист / Валидация моделей,1–3 года,,
1960,Ведущий инженер-программист микроконтроллеров,3–6 лет,,Москва
1961,"Senior Software Engineer CI/CD, DevOps (to Armenia)",1–3 года,,Нижний Новгород
1962,Ведущий тестировщик программного обеспечения / QA lead,3–6 лет,от 180 000 руб. на руки,
1963,"Разработчик Go, Базовые сервисы и инструменты, Инструменты анализа производительности",1–3 года,,Москва
1964,Big Data Engineer,3–6 лет,,Ташкент
1965,Marketing/Product Analyst,3–6 лет,,
1966,Аналитик-маркетолог,3–6 лет,,
1967,Lead Fraud Analyst,1–3 года,,Санкт-Петербург
1968,Ведущий системный администратор (Wink),3–6 лет,,
1969,Архитектор ИТ-решений / Solution Architect,1–3 года,,Москва
1970,Инженер технической поддержки,1–3 года,,
1971,"Разработчик JavaScript, ERP и учётные системы (Отдел ERP интеграции)",3–6 лет,,
1972,Менеджер продукта (Big Data),1–3 года,,Москва
1973,FullStack SAP/ABAP Developer (to Montenegro),3–6 лет,,Новосибирск
1974,Разработчик финансовой платформы в Доставку,1–3 года,,Москва
1975,Системный аналитик,1–3 года,,Москва
1976,QA engineer,3–6 лет,,
1977,QA Engineer (middle/senior),3–6 лет,,
1978,Remote Java Software Architect,более 6 лет,,Москва
1979,IOS Developer (релокация в Европу),3–6 лет,,Москва
1980,DevOps инженер,3–6 лет,,Екатеринбург
1981,Head of Testing Group,3–6 лет,,Минск
1982,"Manager, Site Reliability Engineering (to Canada/Serbia)",более 6 лет,,Москва
1983,Ведущий инженер-программист микроконтроллеров,3–6 лет,,Мытищи
1984,Frontend-разработчик (ATMoSphere.Host),1–3 года,,
1985,Разработчик логистической платформы в Доставку,1–3 года,,Санкт-Петербург
1986,Team Lead/Senior Frontend разработчик,1–3 года,,Санкт-Петербург
1987,Инженер по сопровождению (АС ОКЭй),1–3 года,,Москва
1988,QA Lead (remote),3–6 лет,,Венгрия
1989,QA Lead (remote),3–6 лет,,Турция
1990,Ведущий аналитик,1–3 года,,
1991,Full-stack Yii2/PHP-разработчик,3–6 лет,до 150 000 руб. на руки,
1992,Менеджер по аналитике,1–3 года,,Москва
1993,C# разработчик приложения для автоматизации обработки деталей на лазерных станках,3–6 лет,от 75 000 до 140 000 руб. на руки,
1994,Scala-разработчик,3–6 лет,,Москва
1995,Специалист технической поддержки,1–3 года,,
1996,Web-разработчик,1–3 года,,
1997,Senior С++ Developer,3–6 лет,,Казань
1998,Frontend-разработчик (React),1–3 года,,Санкт-Петербург
1999,QA Lead (remote),3–6 лет,,Черногория
